# Technology, inventions, and gadgets from every era
# word | part of speech | definition
abacus | noun | A frame with rows of sliding beads, used for arithmetic.
internet | noun | A global computer network providing information and communication.
jukebox | noun | A machine that plays selected music when a coin is inserted.
kilobyte | noun | A unit of memory equal to 1,024 bytes.
kinetoscope | noun | An early motion-picture device for viewing through a peephole.
laptop | noun | A portable computer suitable for use while traveling.
lightbulb | noun | A glass bulb that provides light by passing electric current through a filament.
linotype | noun | A typesetting machine that casts a whole line of type at once.
locomotive | noun | A powered railway vehicle used for pulling trains.
magnetron | noun | An electron tube for generating microwaves.
mainframe | noun | A large, high-speed computer supporting many workstations.
megabyte | noun | A unit of information equal to about one million bytes.
megaphone | noun | A cone-shaped device for amplifying the voice.
metronome | noun | A device used by musicians that marks time at a selected rate.
microchip | noun | A tiny wafer of semiconducting material used to make an integrated circuit.
microfiche | noun | A flat piece of film containing microphotographs of document pages.
microfilm | noun | A length of film containing microphotographs of documents.
microwave | noun | An electromagnetic wave; an oven that cooks food using such waves.
modem | noun | A device that converts signals to transmit data over telephone lines.
monocle | noun | A single eyeglass kept in position by the muscles around the eye.
motorcar | noun | An automobile (dated).
netbook | noun | A small, inexpensive laptop designed mainly for internet access.
newsreel | noun | A short film of news and current affairs, shown in cinemas.
nickelodeon | noun | An early movie theater charging five cents; a jukebox.
odometer | noun | An instrument measuring distance traveled by a vehicle.
omnibus | noun | A volume containing several works; a bus (dated).
oscilloscope | noun | A device for viewing oscillations on a screen.
pager | noun | A small radio device that beeps to alert the user to a message.
pedometer | noun | An instrument counting the steps a person takes.
pendulum | noun | A weight hung from a fixed point so that it can swing freely.
phonautograph | noun | The earliest device for recording sound, invented in the 1850s.
photocopier | noun | A machine for making photocopies.
pianola | noun | A player piano.
podcasting | noun | The practice of making podcasts.
radar | noun | A system for detecting objects using radio waves.
radiogram | noun | A combined radio and record player; a telegram sent by radio.
satnav | noun | A satellite navigation system in a vehicle.
semaphore | noun | A system of signaling using flags or mechanical arms.
sextant | noun | An instrument for measuring angular distances for navigation.
smartphone | noun | A mobile phone that performs many functions of a computer.
smartwatch | noun | A wristwatch with computing capabilities.
sonar | noun | A system for detecting objects underwater by sound pulses.
spreadsheet | noun | A computer program for organizing and calculating data in tables.
stereoscope | noun | A device for viewing pairs of photographs as a single 3D image.
streetcar | noun | A tram running on rails along city streets.
supercomputer | noun | A powerful computer capable of dealing with complex problems.
tachometer | noun | An instrument measuring the rotation speed of an engine.
tamagotchi | noun | A handheld digital pet toy.
telautograph | noun | A telegraph that reproduced handwriting at a distance.
telefax | noun | A fax machine or message.
telegram | noun | A message sent by telegraph and delivered in written form.
telegraphy | noun | The science or art of using a telegraph.
telephone | noun | A system for transmitting voices over a distance using wire or radio.
teleprinter | noun | A device for transmitting telegraph messages as they are keyed.
telescope | noun | An optical instrument for making distant objects appear nearer.
teletype | noun | A teleprinter.
television | noun | A system for transmitting visual images and sound.
telex | noun | An international system of telegraphy with printed messages.
thermostat | noun | A device that automatically regulates temperature.
touchscreen | noun | A display screen that responds to touch.
tramcar | noun | A tram.
transistorized | adjective | Fitted with transistors rather than valves.
typesetter | noun | A person or machine that sets type.
ultrasound | noun | Sound with a frequency above human hearing, used in medical imaging.
videocassette | noun | A cassette of videotape.
videotape | noun | Magnetic tape for recording and reproducing visual images and sound.
viewfinder | noun | A device on a camera showing the field of view.
voicemail | noun | A centralized system for storing phone messages.
walkman | noun | A brand of personal cassette player.
webcam | noun | A video camera connected to a computer for streaming.
wifi | noun | Wireless networking technology.
wristwatch | noun | A watch worn on a strap around the wrist.
xerox | verb | To photocopy.
zoetrope | noun | A cylindrical toy that creates an illusion of motion from a sequence of pictures.

