cabinet | noun | A cupboard with shelves; the senior ministers of a government.
common | adjective | Occurring often; shared by many.
community | noun | A group of people living in one place.
companion | noun | A person who accompanies another.
company | noun | A business firm; the state of having others present.
compare | verb | To note the likeness and difference between things.
compete | verb | To strive against others for a prize.
complain | verb | To express dissatisfaction.
complete | adjective | Having all its parts; finished.
complex | adjective | Made of many connected parts; complicated.
compose | verb | To write music; to make up a whole.
compound | noun | A substance of combined elements; an enclosed area.
concept | noun | An abstract idea.
concern | noun | Worry; a matter of interest or importance.
concert | noun | A musical performance before an audience.
conclude | verb | To bring to an end; to decide after thought.
concrete | noun | A building material of cement, sand and stone.
condemn | verb | To express strong disapproval; to sentence.
condition | noun | The state something is in; a requirement.
conduct | verb | To lead or direct; behaviour.
confident | adjective | Sure of oneself.
confirm | verb | To establish the truth of something.
conflict | noun | A serious disagreement; armed fighting.
confuse | verb | To make unclear; to mix up.
congress | noun | A formal meeting; a national legislature.
connect | verb | To join together.
conquer | verb | To overcome by force.
conscious | adjective | Awake and aware.
consent | noun | Permission for something to happen.
consider | verb | To think carefully about.
consist | verb | To be made up of.
constant | adjective | Happening all the time; unchanging.
construct | verb | To build.
consult | verb | To seek advice or information from.
contact | noun | The state of touching; communication.
contain | verb | To hold within; to keep under control.
content | noun | What is held inside; satisfied.
contest | noun | A competition.
context | noun | The circumstances surrounding an event or word.
continent | noun | One of the earth's main land masses.
continue | verb | To keep going without stopping.
contract | noun | A binding agreement; to shrink.
contrary | adjective | Opposite in nature; stubbornly opposed.
contrast | noun | A striking difference between things.
control | noun | The power to direct; a device for regulating.
convert | verb | To change into another form or belief.
convey | verb | To carry; to communicate.
convince | verb | To make someone believe something.
cookout | noun | A meal cooked and eaten outdoors.
cooperate | verb | To work together towards a goal.
copper | noun | A reddish metal that conducts electricity well.
correct | adjective | Free from error.
corridor | noun | A passage in a building or between places.
costume | noun | Clothes worn for a role or period.
cotton | noun | A soft white fibre from a plant, and the cloth made from it.
couch | noun | A long padded seat.
cougar | noun | A large wild cat of the Americas.
council | noun | A body of people elected to manage local affairs.
counter | noun | A flat surface in a shop; a device that counts.
country | noun | A nation with its own government; rural land.
county | noun | A division of a country for local government.
couple | noun | Two people or things together.
courage | noun | The ability to face danger without fear.
course | noun | A route taken; a series of lessons; part of a meal.
courtesy | noun | Polite behaviour.
courtyard | noun | An open space enclosed by buildings.
cousin | noun | The child of one's aunt or uncle.
coward | noun | A person who lacks courage.
cowhide | noun | The skin of a cow, used for leather.
crackdown | noun | Severe measures to stop something.
create | verb | To bring something into being.
creation | noun | The act of making; something made.
creative | adjective | Able to make new things or ideas.
creature | noun | A living being, especially an animal.
credit | noun | Trust to pay later; public recognition.
crisis | noun | A time of intense difficulty or danger.
criminal | noun | A person who has committed a crime.
critic | noun | A person who judges books, films or art.
critical | adjective | Finding fault; extremely important.
criticism | noun | Disapproval based on faults; careful judgement of art.
crystal | noun | A clear mineral form with flat faces; fine glass.
cubic | adjective | Shaped like a cube; measured in three dimensions.
cuckold | noun | A man whose wife has been unfaithful.
culture | noun | The customs and arts of a society.
cunning | adjective | Clever at deceiving.
curious | adjective | Eager to know; strange.
curiosity | noun | Eagerness to know; an unusual object.
curtain | noun | A hanging cloth that covers a window or stage.
custom | noun | A traditional practice; regular trade from customers.
cylinder | noun | A solid or hollow shape with straight sides and circular ends.
