sick | adjective | Unwell; feeling the urge to vomit.
spear | noun | A weapon with a long shaft and pointed head.
speed | noun | The rate at which something moves.
spell | verb | To name the letters of a word; a period of time; a charm.
spend | verb | To pay out money; to pass time.
spill | verb | To let liquid fall out of a container.
spin | verb | To turn round quickly; to draw out thread.
spine | noun | The backbone; a sharp thorn.
spit | verb | To eject saliva from the mouth.
spite | noun | The desire to hurt or annoy.
split | verb | To break along a line; to divide.
spoil | verb | To damage; to treat a child too indulgently.
spoon | noun | A shallow bowl on a handle for eating.
sport | noun | A game involving physical effort and skill.
spot | noun | A small round mark; a particular place.
spray | noun | Liquid blown in tiny drops.
stack | noun | A neat pile.
staff | noun | The people who work for an organization; a long stick.
stage | noun | A raised platform for performing; a point in a process.
stair | noun | One of a set of steps between floors.
stalk | noun | The stem of a plant; to follow secretly.
stall | noun | A stand for selling goods; a compartment for an animal.
stamp | noun | A small printed label showing postage is paid.
stand | verb | To be upright on the feet.
star | noun | A distant sun seen at night; a leading performer.
stare | verb | To look fixedly at something.
stark | adjective | Severe and bare; complete.
start | verb | To begin.
state | noun | A condition; a country or its government.
stay | verb | To remain in a place.
steak | noun | A thick slice of meat or fish.
steal | verb | To take without permission.
steam | noun | The vapour given off by boiling water.
steel | noun | A hard alloy of iron and carbon.
steep | adjective | Rising or falling sharply.
steer | verb | To guide the course of a vehicle or boat.
stem | noun | The main stalk of a plant.
step | noun | A movement of the foot in walking; a stair.
stern | adjective | Serious and severe; the back of a ship.
stick | noun | A thin piece of wood; to fix in place.
stiff | adjective | Not easily bent.
still | adjective | Not moving; even now.
sting | verb | To wound with a sharp point, as a bee does.
stir | verb | To move a liquid round with a spoon.
stock | noun | A supply kept for use; shares in a company.
stone | noun | A piece of rock; the hard seed of some fruits.
stool | noun | A seat without a back.
stoop | verb | To bend the body forward and down.
stop | verb | To bring to an end; to cease moving.
store | noun | A shop; a supply kept for later.
story | noun | An account of events, real or invented.
stout | adjective | Rather fat; sturdy; a dark beer.
stove | noun | An apparatus for cooking or heating.
strap | noun | A strip of leather or cloth for fastening.
stray | verb | To wander from the right place.
strip | noun | A long narrow piece; to remove covering.
stud | noun | A small knob; horses kept for breeding.
study | verb | To learn about a subject by reading and thought.
stuff | noun | Material or things in general.
stump | noun | The part of a tree left after felling.
stun | verb | To knock senseless; to astonish.
stunt | noun | A daring feat performed for show.
style | noun | A manner of doing something; elegance.
sugar | noun | A sweet substance obtained from cane or beet.
suit | noun | A jacket and trousers of the same cloth; a court case.
sum | noun | A total; an arithmetic problem.
sun | noun | The star that gives the earth light and heat.
sunny | adjective | Bright with sunshine; cheerful.
super | adjective | Excellent or very good.
sure | adjective | Certain of something.
surf | noun | Waves breaking on the shore.
swan | noun | A large white waterbird with a long neck.
swear | verb | To make a solemn promise; to use bad language.
sweep | verb | To clean a floor with a brush.
sweet | adjective | Tasting of sugar; pleasing.
swift | adjective | Moving very fast.
swim | verb | To move through water using the limbs.
sword | noun | A weapon with a long blade and a hilt.
