# Vivid and distinctive vocabulary
# word | part of speech | definition
aberration | noun | A departure from what is normal or expected.
hubris | noun | Excessive pride or self-confidence.
hyperbole | noun | Exaggerated statements not meant to be taken literally.
iconoclast | noun | A person who attacks cherished beliefs or institutions.
idiosyncrasy | noun | A mode of behavior or way of thought peculiar to an individual.
ignominious | adjective | Deserving or causing public disgrace or shame.
imbroglio | noun | An extremely confused, complicated, or embarrassing situation.
impecunious | adjective | Having little or no money.
impetuous | adjective | Acting quickly without thought or care.
incorrigible | adjective | Not able to be corrected, improved, or reformed.
indefatigable | adjective | Persisting tirelessly.
ineffable | adjective | Too great or extreme to be expressed in words.
inscrutable | adjective | Impossible to understand or interpret.
insouciance | noun | Casual lack of concern; indifference.
irascible | adjective | Having or showing a tendency to be easily angered.
jejune | adjective | Naive, simplistic, and superficial; dull.
jingoism | noun | Extreme patriotism, especially in the form of aggressive foreign policy.
juxtaposition | noun | The fact of two things being seen or placed close together for contrasting effect.
kowtow | verb | To act in an excessively subservient manner.
labyrinthine | adjective | Like a labyrinth; irregular and twisting; intricate.
lackadaisical | adjective | Lacking enthusiasm and determination; carelessly lazy.
laconic | adjective | Using very few words.
languid | adjective | Displaying a disinclination for physical exertion; relaxed.
largesse | noun | Generosity in bestowing money or gifts.
lascivious | adjective | Feeling or revealing an overt and often offensive sexual desire.
lethargic | adjective | Sluggish and apathetic.
licentious | adjective | Promiscuous and unprincipled in sexual matters.
lilliputian | adjective | Trivial or very small.
limerence | noun | The state of being infatuated with another person.
loquacious | adjective | Tending to talk a great deal; talkative.
lothario | noun | A man who behaves selfishly and irresponsibly in his sexual relationships.
lucubration | noun | Study or meditation; a pedantic piece of writing.
luminous | adjective | Full of or shedding light; bright or shining.
machination | noun | A plot or scheme.
magnanimous | adjective | Generous or forgiving, especially toward a rival.
malaise | noun | A general feeling of discomfort, illness, or unease.
malevolent | adjective | Having or showing a wish to do evil to others.
maudlin | adjective | Self-pityingly or tearfully sentimental.
maverick | noun | An unorthodox or independent-minded person; an unbranded calf.
mawkish | adjective | Sentimental in a feeble or sickly way.
melee | noun | A confused fight or scuffle.
mendacious | adjective | Not telling the truth; lying.
mercurial | adjective | Subject to sudden or unpredictable changes of mood or mind.
minutiae | noun | The small, precise, or trivial details of something.
miscreant | noun | A person who behaves badly or unlawfully.
misnomer | noun | A wrong or inaccurate name or designation.
modicum | noun | A small quantity of a particular thing.
moribund | adjective | At the point of death; in terminal decline.
munificent | adjective | Larger or more generous than is usual.
myriad | noun | A countless or extremely great number.
nadir | noun | The lowest point in the fortunes of a person or organization.
nebulous | adjective | In the form of a cloud or haze; hazy; vague.
nemesis | noun | The inescapable agent of someone's downfall; a long-standing rival.
nonchalant | adjective | Feeling or appearing casually calm and relaxed.
nostalgia | noun | A sentimental longing for the past.
obfuscate | verb | To make obscure, unclear, or unintelligible.
obsequious | adjective | Obedient or attentive to an excessive degree.
obstreperous | adjective | Noisy and difficult to control.
ominous | adjective | Giving the impression that something bad is going to happen.
opprobrium | noun | Harsh criticism or censure; public disgrace.
opulent | adjective | Ostentatiously rich and luxurious.
ostentatious | adjective | Characterized by vulgar or pretentious display.
palaver | noun | Prolonged and idle discussion; fuss.
panacea | noun | A solution or remedy for all difficulties or diseases.
panache | noun | Flamboyant confidence of style or manner.
paradigm | noun | A typical example or pattern; a model.
paragon | noun | A person or thing regarded as a perfect example of a quality.
pariah | noun | An outcast.
parsimonious | adjective | Unwilling to spend money or use resources.
pastiche | noun | An artistic work imitating the style of another work or period.
paucity | noun | The presence of something in only small or insufficient quantities.
pedantic | adjective | Excessively concerned with minor details or rules.
penchant | noun | A strong or habitual liking for something.
perfidious | adjective | Deceitful and untrustworthy.
perfunctory | adjective | Carried out with a minimum of effort or reflection.
pernicious | adjective | Having a harmful effect, especially in a gradual or subtle way.
petulant | adjective | Childishly sulky or bad-tempered.
philistine | noun | A person hostile or indifferent to culture and the arts.
phlegmatic | adjective | Having an unemotional and stolidly calm disposition.
platitude | noun | A remark that has been used too often to be interesting.
plethora | noun | A large or excessive amount of something.
poignant | adjective | Evoking a keen sense of sadness or regret.
pompous | adjective | Affectedly grand, solemn, or self-important.
precocious | adjective | Having developed certain abilities at an earlier age than usual.
prevaricate | verb | To speak or act in an evasive way.
proclivity | noun | A tendency to choose or do something regularly.
profligate | adjective | Recklessly extravagant or wasteful in the use of resources.
propinquity | noun | The state of being close to someone or something; proximity.
provenance | noun | The place of origin or earliest known history of something.
pugnacious | adjective | Eager or quick to argue, quarrel, or fight.
pulchritude | noun | Beauty.
punctilious | adjective | Showing great attention to detail or correct behavior.
pusillanimous | adjective | Showing a lack of courage or determination; timid.
quibble | noun | A slight objection or criticism about a trivial matter.
quiescent | adjective | In a state or period of inactivity or dormancy.
quintessential | adjective | Representing the most perfect or typical example of a quality.
raconteur | noun | A person who tells anecdotes in a skillful and amusing way.
rancor | noun | Bitterness or resentfulness, especially long-standing.
recalcitrant | adjective | Having an obstinately uncooperative attitude.
redolent | adjective | Strongly reminiscent or suggestive of something; fragrant.
resplendent | adjective | Attractive and impressive through being richly colorful or sumptuous.
reticent | adjective | Not revealing one's thoughts or feelings readily.
ribaldry | noun | Ribald talk or behavior.
sagacious | adjective | Having or showing keen mental discernment and good judgment.
salubrious | adjective | Health-giving; healthy; pleasant and respectable.
sanguine | adjective | Optimistic or positive, especially in a difficult situation.
sardonic | adjective | Grimly mocking or cynical.
scintillating | adjective | Sparkling or shining brightly; brilliantly clever.
scurrilous | adjective | Making scandalous claims about someone to damage their reputation.
sinecure | noun | A position requiring little or no work but giving status or pay.
solipsism | noun | The view that the self is all that can be known to exist.
sonorous | adjective | Imposingly deep and full in sound.
spurious | adjective | Not being what it purports to be; false or fake.
squalor | noun | The state of being extremely dirty and unpleasant.
stentorian | adjective | Loud and powerful.
stoic | noun | A person who can endure pain or hardship without complaint.
supercilious | adjective | Behaving as though one thinks one is superior to others.
surreptitious | adjective | Kept secret, especially because it would not be approved of.
sybarite | noun | A person who is self-indulgent in their fondness for luxury.
sycophant | noun | A person who acts obsequiously to gain advantage.
taciturn | adjective | Reserved or uncommunicative in speech; saying little.
temerity | noun | Excessive confidence or boldness; audacity.
tenebrous | adjective | Dark; shadowy or obscure.
tintinnabulation | noun | A ringing or tinkling sound.
torpor | noun | A state of physical or mental inactivity; lethargy.
travesty | noun | A false, absurd, or distorted representation of something.
trepidation | noun | A feeling of fear or agitation about something that may happen.
truculent | adjective | Eager or quick to argue or fight; aggressively defiant.
ubiquitous | adjective | Present, appearing, or found everywhere.
umbrage | noun | Offense or annoyance.
unctuous | adjective | Excessively or ingratiatingly flattering; oily.
usurp | verb | To take a position of power illegally or by force.
vacuous | adjective | Having or showing a lack of thought or intelligence.
vainglorious | adjective | Excessively proud of oneself; boastful.
vehement | adjective | Showing strong feeling; forceful, passionate, or intense.
verbose | adjective | Using or expressed in more words than are needed.
vicissitude | noun | A change of circumstances, typically one that is unwelcome.
vilify | verb | To speak or write about in an abusively disparaging manner.
vitriol | noun | Cruel and bitter criticism; sulfuric acid.
vociferous | adjective | Expressing opinions in a loud and forceful way.
voluptuous | adjective | Curvaceous and sexually attractive; full of sensual pleasure.
wanton | adjective | Deliberate and unprovoked; sexually immodest.
wistful | adjective | Having a feeling of vague or regretful longing.
xenophobia | noun | Dislike of or prejudice against people from other countries.
zealot | noun | A person who is fanatical in pursuit of their ideals.
zenith | noun | The time at which something is most powerful or successful.
