damage | noun | Physical harm reducing value or usefulness.
expensive | adjective | Costing a lot.
expert | noun | A person with great knowledge of a subject.
explain | verb | To make clear by describing.
explode | verb | To burst violently.
explore | verb | To travel through in order to learn about.
explosion | noun | A violent bursting with noise.
export | verb | To send goods abroad for sale.
express | verb | To put into words; fast and direct.
extend | verb | To make longer or larger.
extent | noun | The size or scope of something.
external | adjective | On the outside.
extinct | adjective | No longer in existence.
extract | verb | To take out by effort.
extreme | adjective | Reaching the highest degree.
fabric | noun | Cloth; the basic structure of something.
factor | noun | A cause contributing to a result; a number that divides exactly.
failure | noun | The state of not succeeding.
faithful | adjective | Loyal and true.
family | noun | Parents and their children; a group of related things.
famous | adjective | Known to very many people.
fantastic | adjective | Excellent; strange and fanciful.
farewell | noun | An act of parting; a goodbye.
farmhouse | noun | The main house on a farm.
fashion | noun | The prevailing style of dress; a manner of doing something.
fasten | verb | To fix or close securely.
father | noun | A male parent.
fatigue | noun | Extreme tiredness.
favorite | noun | The one liked best.
feather | noun | One of the light growths covering a bird.
feature | noun | A distinctive part or quality; a full-length film.
federal | adjective | Of a union of states with a central government.
fellow | noun | A companion; a member of a learned society.
female | adjective | Of the sex that bears young.
