# Science, medicine, and the body
# word | part of speech | definition
adrenaline | noun | A hormone released in response to stress.
influenza | noun | A highly contagious viral infection; the flu.
insulin | noun | A hormone that regulates glucose levels in the blood.
isotope | noun | Forms of an element with different numbers of neutrons.
leprosy | noun | A contagious disease affecting the skin, nerves, and mucous membranes.
leukemia | noun | A cancer of the blood-forming tissues.
lobotomy | noun | A surgical operation cutting nerve fibers in the brain's frontal lobe.
lockjaw | noun | Tetanus; spasm of the jaw muscles.
lumbago | noun | Pain in the muscles and joints of the lower back.
malaria | noun | A mosquito-borne disease causing recurring fever.
measles | noun | An infectious viral disease causing fever and a red rash.
melancholia | noun | Deep sadness; a former term for severe depression.
meningitis | noun | Inflammation of the membranes around the brain and spinal cord.
meteorite | noun | A piece of rock from space that has landed on Earth.
miasma | noun | An unpleasant or unhealthy vapor once believed to cause disease.
microbe | noun | A microorganism, especially a bacterium causing disease.
microbiome | noun | The community of microorganisms living in a particular environment.
migraine | noun | A recurrent throbbing headache, often with nausea.
mumps | noun | A viral disease causing swelling of the salivary glands.
nanotechnology | noun | Technology on the scale of atoms and molecules.
nebula | noun | A cloud of gas and dust in outer space.
neuron | noun | A specialized cell transmitting nerve impulses.
neutron | noun | A subatomic particle with no electric charge.
nicotine | noun | A toxic alkaloid found in tobacco.
nostrum | noun | A quack medicine; a pet scheme for bringing about social reform.
opioid | noun | A compound with effects like opium.
osteoporosis | noun | A condition in which bones become brittle and fragile.
ozone | noun | A form of oxygen; a layer of the atmosphere absorbing ultraviolet radiation.
palsy | noun | Paralysis, often with involuntary tremors.
pandemic | noun | A disease prevalent over a whole country or the world.
penicillin | noun | An antibiotic produced by a mold.
photon | noun | A particle representing a quantum of light.
placebo | noun | A harmless substance given for psychological effect.
plague | noun | A contagious bacterial disease; a disastrous evil or affliction.
pleurisy | noun | Inflammation of the membranes around the lungs.
pneumonia | noun | Lung inflammation caused by infection.
polio | noun | An infectious viral disease that can cause paralysis.
positron | noun | A subatomic particle with the mass of an electron but a positive charge.
proton | noun | A positively charged subatomic particle.
pulsar | noun | A rotating neutron star emitting regular pulses of radiation.
quantum | noun | A discrete quantity of energy.
quarantine | noun | A period of isolation to prevent the spread of disease.
quark | noun | A fundamental subatomic particle.
quasar | noun | An extremely luminous and distant active galactic nucleus.
quinine | noun | A bitter compound from cinchona bark, used to treat malaria.
rabies | noun | A viral disease causing madness and convulsions, transmitted by animal bites.
radium | noun | A radioactive metallic element.
retrovirus | noun | A virus that inserts a DNA copy of its genome into a host cell.
rickets | noun | A bone disease in children caused by a lack of vitamin D.
salmonella | noun | A bacterium that causes food poisoning.
sanatorium | noun | An establishment for the treatment of the chronically ill.
sciatica | noun | Pain affecting the back, hip, and leg, caused by nerve compression.
serotonin | noun | A neurotransmitter involved in mood regulation.
spectroscope | noun | An instrument for producing and recording spectra.
stethoscope | noun | A medical instrument for listening to the heart and lungs.
supernova | noun | A star that suddenly increases greatly in brightness due to an explosion.
syphilis | noun | A chronic bacterial sexually transmitted disease.
tetanus | noun | A bacterial disease marked by rigidity and spasms of voluntary muscles.
thermodynamics | noun | The branch of physics concerned with heat and energy.
tonsillitis | noun | Inflammation of the tonsils.
tuberculosis | noun | An infectious bacterial disease affecting the lungs.
typhoid | noun | A bacterial infection spread through contaminated food or water.
vaccine | noun | A substance used to stimulate immunity to a disease.

