# Archaic, obsolete, and old-fashioned words
# word | part of speech | definition
abecedarian | noun | A person who is learning the alphabet; a beginner.
milliner | noun | A person who makes or sells women's hats.
misbegotten | adjective | Badly conceived, designed, or planned.
mountebank | noun | A person who deceives others to trick them out of money; a charlatan.
naught | pronoun | Nothing.
nary | adjective | Not any; no.
natheless | adverb | Nevertheless.
nigh | adverb | Near; nearly.
nosegay | noun | A small bunch of flowers, typically sweet-scented.
oft | adverb | Often.
ostler | noun | A person who looked after horses at an inn.
parlance | noun | A particular way of speaking or using words.
parlormaid | noun | A maid employed to wait at table.
peradventure | adverb | Perhaps.
perchance | adverb | By some chance; perhaps.
periwig | noun | A highly styled wig worn formerly as a fashionable headdress.
pettifogger | noun | An inferior lawyer who deals with petty cases or uses dubious practices.
petticoat | noun | A woman's light, loose undergarment hanging from the waist.
phaeton | noun | A light, open, four-wheeled horse-drawn carriage.
pillory | noun | A wooden framework with holes for the head and hands, used for public punishment.
poltroon | noun | An utter coward.
pomade | noun | A scented oil or ointment for the hair.
poorhouse | noun | An institution where paupers were housed at public expense.
porringer | noun | A small bowl, typically with a handle, for soup or stew.
posset | noun | A drink of hot milk curdled with ale or wine.
postilion | noun | A person who rides the leading horse of a team drawing a coach.
pottage | noun | A thick soup or stew.
prithee | exclamation | Please (archaic).
privy | noun | An outdoor toilet.
quacksalver | noun | A person who dishonestly claims knowledge of medicine.
quaff | verb | To drink something heartily.
quoth | verb | Said.
rapier | noun | A thin, light sharp-pointed sword used for thrusting.
reticule | noun | A woman's small drawstring bag.
rheumatism | noun | A disease marked by inflammation and pain in the joints and muscles.
rogue | noun | A dishonest or unprincipled man.
ruffian | noun | A violent or lawless person.
rushlight | noun | A candle made by dipping the pith of a rush in tallow.
sackbut | noun | An early form of trombone.
scrivener | noun | A clerk or scribe who writes documents.
scullery | noun | A small kitchen or room for washing dishes.
scullion | noun | A servant assigned the most menial kitchen tasks.
sedan | noun | An enclosed chair carried on poles; a closed car.
seneschal | noun | The steward of a medieval great house.
shilling | noun | A former British coin worth one twentieth of a pound.
sirrah | noun | A term of address for a man or boy, expressing contempt.
sixpence | noun | A small coin worth six pence.
slattern | noun | A dirty, untidy woman.
sluggard | noun | A lazy, sluggish person.
spinster | noun | An unmarried woman, typically an older one.
stagecoach | noun | A large closed horse-drawn vehicle carrying passengers on a regular route.
strumpet | noun | A female prostitute or promiscuous woman.
swain | noun | A country youth; a young lover or suitor.
swoon | verb | To faint from extreme emotion.
tallyho | exclamation | A huntsman's cry to hounds on sighting a fox.
tarry | verb | To stay longer than intended; to delay leaving.
thither | adverb | To or toward that place.
tinderbox | noun | A box containing tinder and flint for kindling fire.
tinker | noun | A traveling mender of pots and kettles.
tippler | noun | A habitual drinker of alcohol.
tosspot | noun | A habitual drunkard.
trencher | noun | A wooden plate or platter for serving food.
trollop | noun | A sexually disreputable or promiscuous woman.
troth | noun | Faith or loyalty when pledged in a solemn agreement.
twain | noun | Two.
typhus | noun | An infectious disease spread by lice, causing fever and delirium.
varlet | noun | A male servant or attendant; an unprincipled rogue.
verily | adverb | Truly; certainly.
victuals | noun | Food or provisions.
villein | noun | A feudal tenant entirely subject to a lord.
wainscot | noun | Wooden paneling that lines the lower part of a room's walls.
washerwoman | noun | A woman whose occupation is washing clothes.
wench | noun | A girl or young woman (archaic or humorous).
wherefore | adverb | For what reason.
whilom | adjective | Former; erstwhile.
whist | noun | A card game for two pairs of players.
wight | noun | A person of a specified kind, especially one regarded as unfortunate.
wot | verb | Knows (archaic).
yclept | adjective | By the name of; called.
yeoman | noun | A man holding a small landed estate; a naval petty officer.
yon | adjective | Yonder; that.
yonder | adverb | At some distance in the direction indicated.
zounds | exclamation | Expressing surprise or indignation.
