# More distinctive vocabulary
# word | part of speech | definition
abhorrent | adjective | Inspiring disgust and loathing; repugnant.
fervent | adjective | Having or displaying a passionate intensity.
fickle | adjective | Changing frequently, especially regarding loyalties.
finicky | adjective | Fussy about one's needs or requirements.
flustered | adjective | Agitated or confused.
fortuitous | adjective | Happening by accident or chance; lucky.
frantic | adjective | Wild or distraught with fear, anxiety, or other emotion.
frivolous | adjective | Not having any serious purpose or value.
frumpy | adjective | Dowdy and old-fashioned.
gallant | adjective | Brave, heroic; charmingly attentive.
gaudy | adjective | Extravagantly bright or showy, typically so as to be tasteless.
gawky | adjective | Nervously awkward and ungainly.
ghastly | adjective | Causing great horror or fear; very unwell.
gleeful | adjective | Exuberantly or triumphantly joyful.
glum | adjective | Looking or feeling dejected; morose.
gnarly | adjective | Gnarled; dangerous or challenging; excellent (slang).
grandiose | adjective | Impressive and imposing in appearance or style, especially pretentiously so.
grisly | adjective | Causing horror or disgust.
grotesque | adjective | Comically or repulsively ugly or distorted.
gumption | noun | Shrewd or spirited initiative and resourcefulness.
haphazard | adjective | Lacking any obvious principle of organization.
haughty | adjective | Arrogantly superior and disdainful.
haywire | adjective | Erratic; out of control.
heinous | adjective | Utterly odious or wicked.
hodgepodge | noun | A confused mixture.
hoodwink | verb | To deceive or trick.
humdrum | adjective | Lacking excitement or variety; boring.
hunky | adjective | (Of a man) ruggedly attractive.
idyllic | adjective | Extremely happy, peaceful, or picturesque.
immaculate | adjective | Perfectly clean, neat, or tidy.
impish | adjective | Inclined to do slightly naughty things for fun; mischievous.
inane | adjective | Silly; stupid.
indignant | adjective | Feeling anger at unfair treatment.
jaded | adjective | Tired, bored, or lacking enthusiasm after overexposure.
jaunty | adjective | Having a lively, cheerful, and self-confident manner.
jovial | adjective | Cheerful and friendly.
jubilant | adjective | Feeling or expressing great happiness and triumph.
juxtapose | verb | To place close together for contrasting effect.
knackered | adjective | Extremely tired (British).
lanky | adjective | Ungracefully thin and tall.
lavish | adjective | Sumptuously rich, elaborate, or luxurious.
listless | adjective | Lacking energy or enthusiasm.
livid | adjective | Furiously angry; dark bluish-gray.
lopsided | adjective | With one side lower or smaller than the other.
lurid | adjective | Very vivid in color; presented in vividly shocking detail.
luscious | adjective | Having a pleasingly rich, sweet taste; very attractive.
macabre | adjective | Disturbing because of involvement with death or injury.
magnificent | adjective | Impressively beautiful, elaborate, or extravagant.
meager | adjective | Lacking in quantity or quality.
menacing | adjective | Suggesting the presence of danger; threatening.
mesmerizing | adjective | Capturing one's complete attention as if by magic.
mischievous | adjective | Causing or showing a fondness for causing trouble in a playful way.
miserly | adjective | Of or characteristic of a person who hoards wealth.
mottled | adjective | Marked with spots or smears of color.
mundane | adjective | Lacking interest or excitement; dull.
murky | adjective | Dark and gloomy; obscure.
nauseous | adjective | Affected with nausea; causing nausea.
nimble | adjective | Quick and light in movement or action; agile.
nitpicking | noun | Fussy or pedantic faultfinding.
noxious | adjective | Harmful, poisonous, or very unpleasant.
oblivious | adjective | Not aware of or not concerned about what is happening.
obnoxious | adjective | Extremely unpleasant.
odious | adjective | Extremely unpleasant; repulsive.
ornery | adjective | Bad-tempered and combative.
outlandish | adjective | Looking or sounding bizarre or unfamiliar.
paltry | adjective | Small or meager; petty or trivial.
peculiar | adjective | Strange or odd; unusual.
peevish | adjective | Easily irritated, especially by unimportant things.
perky | adjective | Cheerful and lively.
perplexed | adjective | Completely baffled; very puzzled.
pesky | adjective | Annoying.
pithy | adjective | Concise and forcefully expressive.
plucky | adjective | Having or showing determined courage in the face of difficulties.
portly | adjective | Having a stout body.
posh | adjective | Elegant or stylishly luxurious.
preposterous | adjective | Contrary to reason or common sense; utterly absurd.
prim | adjective | Stiffly formal and respectable; feeling or showing disapproval of anything improper.
prudish | adjective | Having or revealing a tendency to be easily shocked by matters relating to sex.
puny | adjective | Small and weak.
quaint | adjective | Attractively unusual or old-fashioned.
queasy | adjective | Nauseated; feeling sick.
quirky | adjective | Characterized by peculiar or unexpected traits.
raucous | adjective | Making a disturbingly harsh and loud noise.
ravenous | adjective | Extremely hungry.
reckless | adjective | Heedless of danger or the consequences of one's actions.
rickety | adjective | Poorly made and likely to collapse.
rowdy | adjective | Noisy and disorderly.
rugged | adjective | Having a rocky and uneven surface; strongly built.
ruthless | adjective | Having or showing no pity or compassion for others.
scrawny | adjective | Unattractively thin and bony.
scrumptious | adjective | Extremely tasty; delicious.
shabby | adjective | In poor condition through long use or lack of care.
shenanigan | noun | A piece of mischief or trickery.
shoddy | adjective | Badly made or done.
skittish | adjective | Nervous or excitable; easily scared.
slovenly | adjective | Messy and dirty.
sluggish | adjective | Slow-moving or inactive.
smug | adjective | Having excessive pride in oneself; self-satisfied.
snide | adjective | Derogatory or mocking in an indirect way.
sordid | adjective | Involving ignoble actions and motives; dirty or squalid.
spooky | adjective | Sinister or ghostly in a way that causes fear.
spunky | adjective | Courageous and determined.
squeamish | adjective | Easily made to feel sick or disgusted.
sultry | adjective | Hot and humid; displaying passionate sensuality.
surly | adjective | Bad-tempered and unfriendly.
swanky | adjective | Stylishly luxurious and expensive.
tawdry | adjective | Showy but cheap and of poor quality.
tedious | adjective | Too long, slow, or dull; tiresome.
testy | adjective | Easily irritated; impatient.
tipsy | adjective | Slightly drunk.
tousled | adjective | Untidy or disheveled, especially of hair.
tumultuous | adjective | Making a loud, confused noise; uproarious.
uncanny | adjective | Strange or mysterious, especially in an unsettling way.
unkempt | adjective | Having an untidy or disheveled appearance.
unruly | adjective | Disorderly and disruptive; not amenable to discipline.
vexed | adjective | Annoyed, frustrated, or worried; much debated.
vivacious | adjective | Attractively lively and animated.
wacky | adjective | Funny or amusing in a slightly odd or peculiar way.
wily | adjective | Skilled at gaining an advantage, especially deceitfully.
wretched | adjective | In a very unhappy or unfortunate state.
zealous | adjective | Having or showing great energy or enthusiasm.
zestful | adjective | Characterized by great enthusiasm and energy.
