fertile | adjective | Able to produce crops or young in abundance.
harmony | noun | Agreement; notes sounded together pleasingly.
hardship | noun | Severe suffering or difficulty.
headlight | noun | A powerful lamp at the front of a vehicle.
headset | noun | Earphones with a microphone.
health | noun | The condition of the body or mind.
healthy | adjective | In good health; good for you.
hearty | adjective | Warm and enthusiastic; large and satisfying.
heath | noun | Open uncultivated land with low shrubs.
heaven | noun | The dwelling place of God; a state of bliss.
height | noun | The measurement from base to top.
helmet | noun | A hard hat protecting the head.
heritage | noun | Traditions and buildings passed down from the past.
heroic | adjective | Very brave.
heroine | noun | A woman admired for her courage; the chief female character.
hesitate | verb | To pause before acting through doubt.
hiccough | noun | A sharp involuntary gulp of the breath.
hidden | adjective | Kept out of sight.
highway | noun | A main public road.
hillside | noun | The sloping side of a hill.
hippo | noun | A large African river mammal.
historic | adjective | Famous or important in history.
history | noun | The study of past events; a record of the past.
hollow | adjective | Having a hole or empty space inside.
honest | adjective | Truthful and fair.
honeybee | noun | A bee that makes honey.
hopeless | adjective | Without hope; very bad at something.
horrible | adjective | Causing horror; very unpleasant.
horror | noun | Intense fear or disgust.
horseback | noun | The back of a horse, as a place to ride.
hospital | noun | A place where the sick are treated.
hostage | noun | A person held to force others to meet demands.
hostile | adjective | Unfriendly; of an enemy.
household | noun | The people living together in one house.
however | adverb | Nevertheless; in whatever way.
humble | adjective | Modest; of low rank.
humorous | adjective | Causing amusement.
hundred | noun | The number ten times ten.
hungry | adjective | Feeling the need for food.
husband | noun | A married man in relation to his wife.
icicle | noun | A hanging spike of ice.
identical | adjective | Exactly alike.
identify | verb | To recognize and name.
identity | noun | Who or what a person or thing is.
ignorant | adjective | Lacking knowledge.
ignore | verb | To take no notice of.
illness | noun | A disease or period of being unwell.
imaginary | adjective | Existing only in the mind.
imagine | verb | To form a picture in the mind.
imitate | verb | To copy the way something is done.
immediate | adjective | Happening at once; nearest in relation.
immense | adjective | Extremely large.
impact | noun | The striking of one body against another; a strong effect.
impatient | adjective | Unwilling to wait.
import | verb | To bring goods in from abroad.
important | adjective | Of great significance or value.
improve | verb | To make or become better.
incident | noun | An event, especially an unpleasant one.
include | verb | To have as part of a whole.
income | noun | Money received regularly from work or investment.
increase | verb | To become greater in size or number.
indeed | adverb | In truth; used to emphasize a statement.
indicate | verb | To point out or show.
industry | noun | The making of goods in factories; hard work.
infant | noun | A very young child.
infect | verb | To pass a disease to.
infection | noun | Disease caused by germs entering the body.
infinite | adjective | Without limit or end.
influence | noun | The power to affect how others act or think.
inform | verb | To tell someone facts.
injure | verb | To do physical harm to.
injury | noun | Physical harm or damage.
innocent | adjective | Not guilty; free from knowledge of evil.
insane | adjective | Seriously mentally ill; extremely foolish.
insect | noun | A small six-legged animal with a body in three parts.
inside | noun | The inner part of something.
insist | verb | To demand something firmly.
inspect | verb | To look at closely for faults.
instance | noun | An example of something.
instant | noun | A moment of time; happening at once.
instead | adverb | In place of something else.
instinct | noun | An inborn tendency to behave in a certain way.
insult | noun | A remark meant to offend.
insure | verb | To protect against loss by paying a premium.
intend | verb | To have as a plan.
intense | adjective | Very great in strength or degree.
intent | noun | A firm purpose.
interest | noun | The wish to know about something; a charge for borrowing.
interior | noun | The inner part of something.
internal | adjective | Inside; within a body or country.
interpret | verb | To explain the meaning of; to translate speech.
interval | noun | A gap in time or space; a break in a performance.
introduce | verb | To make known by name; to bring in for the first time.
invade | verb | To enter a country by force.
