# Clothing, fashion, household things, and occupations
# word | part of speech | definition
accordion | noun | A portable musical instrument with bellows and keys.
moccasin | noun | A soft leather slipper or shoe.
mohair | noun | A yarn or fabric made from the hair of the angora goat.
mullet | noun | A hairstyle short at the front and sides and long at the back; a fish.
muumuu | noun | A loose, brightly colored Hawaiian dress.
nightcap | noun | A cap worn in bed; an alcoholic drink taken before bed.
nursemaid | noun | A woman or girl employed to look after young children.
ottoman | noun | A low upholstered seat without a back or arms.
overalls | noun | A loose-fitting garment worn over ordinary clothes for protection.
pantaloons | noun | Baggy trousers gathered at the ankles.
pantyhose | noun | Women's thin nylon tights.
parasol | noun | A light umbrella used for shade from the sun.
parka | noun | A large windproof jacket with a hood.
pinafore | noun | A collarless sleeveless dress worn over a blouse; an apron.
pompadour | noun | A hairstyle in which the hair is swept upward from the face.
poncho | noun | A garment of a thick piece of cloth with a slit in the middle for the head.
ponytail | noun | A hairstyle in which the hair is drawn back and tied at the back of the head.
porter | noun | A person employed to carry luggage; a dark brown beer.
postman | noun | A man employed to deliver the mail.
potholder | noun | A pad used to handle hot cookware.
pullover | noun | A knitted garment put on over the head.
pyjamas | noun | Loose-fitting sleepwear (British spelling).
quilt | noun | A warm bed covering made of padding between layers of fabric.
rolodex | noun | A trademarked rotating desk file for contact cards.
rucksack | noun | A bag carried on the back; a backpack.
saddler | noun | A person who makes, repairs, or deals in saddles.
sarong | noun | A garment of a long piece of cloth wrapped around the body.
seamstress | noun | A woman who sews, especially one who earns a living by sewing.
settee | noun | A long upholstered seat for more than one person.
shampoo | noun | A liquid preparation for washing the hair.
shoeshine | noun | An act of polishing someone's shoes.
sideburns | noun | Strips of hair grown down the side of a man's face.
silversmith | noun | A person who makes silver articles.
skivvy | noun | A low-ranking female domestic servant; a thin high-necked sweater.
slippers | noun | Comfortable slip-on shoes worn indoors.
smock | noun | A loose dress or blouse; a protective overgarment.
snood | noun | An ornamental hairnet or a tubular scarf.
sombrero | noun | A broad-brimmed felt or straw hat, typically worn in Mexico.
spatula | noun | An implement with a broad, flat, blunt blade.
spats | noun | Short cloth gaiters covering the instep and ankle.
stenographer | noun | A person who transcribes speech in shorthand.
stetson | noun | A trademarked felt hat with a high crown and wide brim; a cowboy hat.
stilettos | noun | High, thin heels on women's shoes.
stockings | noun | Women's close-fitting garments covering the foot and leg.
suspenders | noun | Straps worn over the shoulders to hold up trousers.
swimsuit | noun | A garment worn for swimming.
switchboard | noun | An installation for manually connecting telephone calls.
tailcoat | noun | A man's formal morning or evening coat with a long skirt divided at the back.
tanner | noun | A person who tans hides; a former sixpence coin.
tattoo | noun | A permanent design made on the skin with ink.
teapot | noun | A pot with a handle and spout, in which tea is brewed.
thatcher | noun | A person who makes thatched roofs.
tiara | noun | A jeweled ornamental band worn on the front of a woman's hair.
toga | noun | A loose flowing outer garment worn by citizens of ancient Rome.
toque | noun | A small brimless hat; a tall white chef's hat.
tracksuit | noun | A loose, warm outfit of a sweatshirt and trousers.
trousseau | noun | The clothes and linen collected by a bride for her marriage.
tutu | noun | A ballet dancer's short skirt of layered stiff net.
tuxedo | noun | A man's dinner jacket.
undershirt | noun | An undergarment worn under a shirt.
upholsterer | noun | A person who upholsters furniture.
valet | noun | A man's personal male attendant; a parking attendant.
vanity | noun | Excessive pride in one's appearance; a dressing table.
waistcoat | noun | A close-fitting sleeveless garment worn over a shirt; a vest.
wardrobe | noun | A large tall cupboard for hanging clothes.
washboard | noun | A board with a ridged surface for washing clothes.
wheelwright | noun | A person who makes or repairs wooden wheels.
wig | noun | A covering for the head made of real or artificial hair.
windbreaker | noun | A wind-resistant jacket.
wristband | noun | A band worn around the wrist.
