# Colorful adjectives and adverbs
# word | part of speech | definition
abysmal | adjective | Extremely bad; appalling.
glib | adjective | Fluent but insincere and shallow.
gnarled | adjective | Knobbly, rough, and twisted.
gooey | adjective | Soft and sticky.
gossipy | adjective | Fond of gossip.
grimy | adjective | Covered with or characterized by grime.
groggy | adjective | Dazed, weak, or unable to think clearly.
gruesome | adjective | Causing repulsion or horror.
grungy | adjective | Grimy; dirty.
gullible | adjective | Easily persuaded to believe something; credulous.
gutsy | adjective | Showing courage, determination, and spirit.
hapless | adjective | Unfortunate.
hardscrabble | adjective | Involving hard work and struggle, especially to make a living.
harebrained | adjective | Rash; ill-judged.
hoary | adjective | Grayish white; old and trite.
huffy | adjective | Annoyed or irritated; easily offended.
humongous | adjective | Huge; enormous.
icky | adjective | Nasty or repulsive.
iffy | adjective | Full of uncertainty; doubtful.
jazzy | adjective | Of or in the style of jazz; bright, colorful, and showy.
jittery | adjective | Nervous or unable to relax.
kinky | adjective | Having kinks; involving unusual sexual behavior.
knobbly | adjective | Having lumps.
lackluster | adjective | Lacking in vitality, force, or conviction.
loathsome | adjective | Causing hatred or disgust; repulsive.
malodorous | adjective | Smelling very unpleasant.
mangy | adjective | Having mange; in poor condition; shabby.
measly | adjective | Contemptibly small or few.
mealy | adjective | Of or like meal; pale in complexion.
mingy | adjective | Mean; stingy (British).
moldy | adjective | Covered with mold.
musty | adjective | Having a stale, moldy, or damp smell.
nippy | adjective | Chilly; quick and nimble.
nutso | adjective | Crazy.
oafish | adjective | Stupid, uncultured, or clumsy.
paunchy | adjective | Having a large or protruding belly.
peaky | adjective | Pale from illness or fatigue.
pernickety | adjective | Placing too much emphasis on trivial details; fussy (British).
piddling | adjective | Pathetically trivial; trifling.
podgy | adjective | Rather fat (British).
prissy | adjective | Fussily and excessively respectable.
pudgy | adjective | Slightly fat.
putrid | adjective | Decaying and emitting a fetid smell.
quizzical | adjective | Indicating mild or amused puzzlement.
rakish | adjective | Having a dashing, jaunty, or slightly disreputable quality.
rancid | adjective | Smelling or tasting unpleasant as a result of being old and stale.
rascally | adjective | Mischievous or cheeky.
ratty | adjective | Resembling a rat; shabby; irritable.
rubbery | adjective | Having the consistency of rubber.
runty | adjective | Small and weak.
saggy | adjective | Sagging or tending to sag.
scatty | adjective | Absentminded and disorganized (British).
schmaltzy | adjective | Excessively sentimental.
scraggly | adjective | Thin and untidy.
scrappy | adjective | Consisting of disorganized pieces; determined and argumentative.
scruffy | adjective | Shabby and untidy or dirty.
scuzzy | adjective | Disgusting and dirty.
seedy | adjective | Sordid and disreputable; full of seeds.
sheepish | adjective | Showing embarrassment from shame or a lack of self-confidence.
shifty | adjective | Appearing deceitful or evasive.
skanky | adjective | Revolting; unpleasant.
sleazy | adjective | Sordid, corrupt, or immoral.
slimy | adjective | Covered with slime; disgustingly dishonest or flattering.
snazzy | adjective | Stylish and attractive.
snobbish | adjective | Having the character of a snob.
spindly | adjective | Long or tall and thin.
spiffing | adjective | Excellent; splendid (dated British).
spooked | adjective | Frightened or unnerved.
squishy | adjective | Soft and moist; soft and yielding.
stodgy | adjective | Heavy and filling; dull and uninspired.
sulky | adjective | Morose, resentful, or bad-tempered.
swanky | adjective | Stylishly luxurious and expensive.
tacky | adjective | Showing poor taste and quality; slightly sticky.
tetchy | adjective | Bad-tempered and irritable.
threadbare | adjective | Thin and tattered with age; hackneyed.
tiddly | adjective | Slightly drunk; very small (British).
trashy | adjective | Of poor quality; cheap.
tubby | adjective | Short and fat.
twitchy | adjective | Nervous; given to twitching.
ungainly | adjective | Awkward; clumsy.
unwieldy | adjective | Difficult to carry or move because of its size, shape, or weight.
uppish | adjective | Arrogantly self-assertive.
vapid | adjective | Offering nothing that is stimulating or challenging; bland.
wan | adjective | Pale and giving the impression of illness or exhaustion.
weaselly | adjective | Deceitful or treacherous.
whimsy | noun | Playfully quaint or fanciful behavior or humor.
wimpy | adjective | Weak and cowardly or feeble.
wobbly | adjective | Tending to move unsteadily from side to side.
woozy | adjective | Unsteady, dizzy, or dazed.
yucky | adjective | Messy or disgusting.
zesty | adjective | Having a strong, pleasant, and somewhat spicy flavor.

