# Ideas, belief, philosophy, school, and academia
# word | part of speech | definition
aesthetics | noun | A set of principles concerned with beauty and artistic taste.
pantheism | noun | A doctrine that identifies God with the universe.
paradox | noun | A seemingly absurd statement that may prove to be true.
parapsychology | noun | The study of mental phenomena outside normal scientific explanation.
pedagogy | noun | The method and practice of teaching.
pessimism | noun | A tendency to see the worst aspect of things.
phrenologist | noun | A person who practiced phrenology.
pilgrimage | noun | A journey to a sacred place.
plagiarism | noun | Taking someone else's work and passing it off as one's own.
polymath | noun | A person of wide knowledge or learning.
pragmatism | noun | A practical approach to problems and affairs.
predestination | noun | The doctrine that all events have been willed by God.
prophecy | noun | A prediction of what will happen in the future.
prophet | noun | A person regarded as an inspired teacher or proclaimer of the will of God.
psychoanalysis | noun | A therapy treating mental disorders by investigating the unconscious mind.
purgatory | noun | A place or state of suffering inhabited by the souls of sinners expiating their sins.
rationalism | noun | The practice of basing opinions on reason rather than emotion or religion.
recess | noun | A break between sessions; a small space set back in a wall.
reincarnation | noun | The rebirth of a soul in a new body.
relativity | noun | Einstein's theory of the relationship of space, time, and motion.
rhetoric | noun | The art of effective or persuasive speaking or writing.
sabbatical | noun | A period of paid leave granted for study or travel.
sacrilege | noun | Violation or misuse of what is regarded as sacred.
salvation | noun | Deliverance from sin and its consequences.
scholasticism | noun | The system of theology and philosophy taught in medieval universities.
scripture | noun | The sacred writings of a religion.
semester | noun | A half-year term in a school or college.
sermon | noun | A talk on a religious or moral subject, especially during a church service.
skepticism | noun | A doubting attitude.
sophomore | noun | A second-year student.
spiritualism | noun | A system of belief that the spirits of the dead communicate with the living.
stoicism | noun | The endurance of pain or hardship without complaint.
superstition | noun | Excessively credulous belief in supernatural influence.
syllabus | noun | An outline of the subjects in a course of study.
taoism | noun | A Chinese philosophy based on the writings of Lao-tzu.
theocracy | noun | A system of government in which priests rule in the name of God.
theology | noun | The study of the nature of God and religious belief.
theosophy | noun | Any of a number of philosophies maintaining that knowledge of God may be achieved through spiritual ecstasy.
thesaurus | noun | A book listing words in groups of synonyms.
transcendentalism | noun | A 19th-century idealistic philosophical and social movement.
truant | noun | A pupil who stays away from school without permission.
tutor | noun | A private teacher.
utilitarianism | noun | The doctrine that actions are right if they are useful or benefit a majority.
valedictorian | noun | A student who delivers the farewell speech at a graduation ceremony.
vicar | noun | A priest in charge of a parish.
worship | noun | The feeling or expression of reverence and adoration for a deity.
zen | noun | A school of Buddhism emphasizing meditation; calm and relaxed.
zodiac | noun | A belt of the heavens divided into twelve astrological signs.
