foam | noun | A mass of small bubbles on a liquid.
gulf | noun | A large bay; a wide difference.
gull | noun | A seabird with long wings and a harsh cry.
gun | noun | A weapon that fires bullets or shells.
habit | noun | A settled tendency to act in a certain way.
hail | noun | Frozen rain falling as small balls of ice.
hair | noun | Fine threads growing from the skin.
hall | noun | The entrance space of a house; a large public room.
halo | noun | A ring of light around the head of a holy figure.
halt | verb | To bring or come to a stop.
hand | noun | The part of the arm below the wrist.
handy | adjective | Useful and close at hand; skilful.
hang | verb | To fasten so as to swing freely.
happy | adjective | Feeling pleasure and contentment.
hard | adjective | Firm and solid; difficult.
harm | noun | Physical or other injury.
harsh | adjective | Rough and unpleasant; severe.
haste | noun | Excessive speed in acting.
hat | noun | A covering for the head.
hatch | verb | To emerge from an egg; to plot.
hate | verb | To dislike intensely.
haul | verb | To pull something heavy.
haunt | verb | To visit as a ghost; to trouble the mind.
hawk | noun | A bird of prey with broad wings.
haze | noun | A thin mist of dust or heat.
head | noun | The top part of the body containing the brain; a leader.
heal | verb | To make or become healthy again.
heap | noun | An untidy pile.
hear | verb | To take in sound through the ears.
heart | noun | The organ pumping blood; the seat of feeling.
heat | noun | The quality of being hot.
heavy | adjective | Of great weight.
heel | noun | The back part of the foot.
helium | noun | A very light gas used to fill balloons.
hell | noun | The place of punishment after death; great suffering.
hello | noun | A greeting.
help | verb | To make it easier for someone to do something.
hen | noun | A female bird, especially a fowl.
herb | noun | A plant used for flavour or medicine.
herd | noun | A group of animals kept or feeding together.
hero | noun | A person admired for courage or achievement.
hide | verb | To put or keep out of sight.
high | adjective | Far above the ground; great in degree.
hike | noun | A long walk in the country.
hill | noun | A raised area of land, lower than a mountain.
hint | noun | A slight indication; a helpful suggestion.
hip | noun | The projection of the pelvis at each side.
hire | verb | To pay for the use of something or someone's work.
hit | verb | To strike with force.
hobby | noun | An activity done regularly for pleasure.
hold | verb | To have in the hand; to keep in position.
hole | noun | An opening through or into something.
holy | adjective | Set apart as sacred.
home | noun | The place where one lives.
honey | noun | A sweet sticky food made by bees.
honor | noun | High respect; personal integrity.
hook | noun | A curved piece for catching or hanging things.
hoop | noun | A rigid circular band.
hope | noun | A feeling that something desired may happen.
horn | noun | A hard growth on an animal's head; a brass instrument.
horse | noun | A large animal ridden and used for pulling loads.
hose | noun | A flexible tube for carrying water.
host | noun | A person who entertains guests; a large number.
hotel | noun | A building providing rooms for travellers.
hour | noun | A period of sixty minutes.
house | noun | A building made for people to live in.
howl | noun | A long wailing cry.
huge | adjective | Extremely large.
human | noun | A person, as distinct from other animals.
humor | noun | The quality of being amusing; a mood.
hunt | verb | To chase animals for food or sport.
hurry | verb | To move or act quickly.
hurt | verb | To cause pain or injury.
hush | noun | A sudden silence.
hut | noun | A small simple building.
