ringworm | noun | A skin infection causing round itchy patches.
stockpile | noun | A large store kept for future use.
stomach | noun | The organ where food is digested.
storage | noun | The keeping of things until needed.
stormy | adjective | Marked by storms; full of angry feeling.
straight | adjective | Without a bend or curve; honest.
strain | noun | Force pulling something; stress; a variety of plant or germ.
strange | adjective | Unusual or surprising; unfamiliar.
stranger | noun | A person one does not know.
streak | noun | A long thin mark; a spell of luck.
stream | noun | A small river; a continuous flow.
street | noun | A public road in a town lined with buildings.
strength | noun | The quality of being strong.
stress | noun | Mental strain; emphasis; force on a body.
stretch | verb | To pull out to greater length.
strict | adjective | Demanding obedience to rules.
stride | noun | A long step in walking.
strife | noun | Angry conflict.
string | noun | Thin cord; a length of wire on an instrument.
stripe | noun | A long narrow band of colour.
stroll | noun | A leisurely walk.
strong | adjective | Having great power or force.
structure | noun | The way parts are arranged; a building.
struggle | verb | To make forceful efforts against difficulty.
stubborn | adjective | Refusing to change one's mind.
student | noun | A person studying at a school or college.
stupid | adjective | Lacking intelligence or good sense.
sturdy | adjective | Strongly built.
subject | noun | A topic; a person under a ruler; the doer in a sentence.
substance | noun | Matter of a particular kind; the essence of something.
subtle | adjective | Fine and delicate; not obvious.
subtract | verb | To take one number away from another.
succeed | verb | To achieve an aim; to come next in order.
success | noun | The achieving of an aim.
sudden | adjective | Happening quickly and without warning.
suffer | verb | To undergo pain or hardship.
suggest | verb | To put forward for consideration.
suitable | adjective | Right for the purpose or occasion.
summary | noun | A brief statement of the main points.
summer | noun | The warmest season of the year.
summit | noun | The top of a mountain; a meeting of heads of state.
sunlight | noun | Light from the sun.
sunrise | noun | The rising of the sun in the morning.
sunset | noun | The setting of the sun in the evening.
sunshine | noun | Direct light and warmth from the sun.
superior | adjective | Higher in rank or quality.
supper | noun | An evening meal.
support | verb | To hold up; to give help or approval to.
suppose | verb | To think something likely; to assume.
supreme | adjective | Highest in rank or importance.
surface | noun | The outside or top layer of something.
surgery | noun | Medical treatment by operation; a doctor's consulting room.
surname | noun | A family name.
surprise | noun | An unexpected event; the feeling it causes.
surrender | verb | To give oneself up to an enemy.
surround | verb | To be all round something.
survey | noun | A general view or examination; a measuring of land.
survival | noun | The state of continuing to live.
survive | verb | To remain alive through danger.
suspect | verb | To believe something without proof.
suspend | verb | To hang; to stop for a time.
suspense | noun | Anxious uncertainty about what will happen.
swallow | verb | To cause food to pass down the throat; a small bird.
sweater | noun | A knitted garment for the upper body.
sweeten | verb | To make sweeter.
swimmer | noun | A person who swims.
switch | noun | A device for turning power on and off; a change.
syllable | noun | A unit of sound forming part of a word.
symbol | noun | A mark or object standing for something else.
symmetry | noun | Exact correspondence of parts on either side.
sympathy | noun | Understanding of another's feelings.
synonym | noun | A word with the same meaning as another.
synthetic | adjective | Made by chemical synthesis rather than natural.
system | noun | A set of connected parts working together.
