# Words removed for being too plain or generic (2026-09-17).
# Not used by the game. Move a line back into scripts/words/ to restore it.
abdicate | verb | To renounce one's throne; to fail to fulfill a duty.
clown | noun | A comic entertainer in a circus; a playful or silly person.
clumsy | adjective | Awkward in movement or in handling things.
coach | noun | A comfortably equipped bus; a trainer; a horse-drawn carriage.
coaster | noun | A small mat for a glass; a ship trading along a coast.
cockle | noun | An edible burrowing bivalve mollusk.
cocktail | noun | An alcoholic drink of a spirit mixed with other ingredients.
cocoa | noun | A powder made from roasted cacao seeds; a hot drink made from it.
coke | noun | A solid fuel made by heating coal; a cola drink.
colander | noun | A perforated bowl used to strain food.
colossal | adjective | Extremely large or great.
columnist | noun | A journalist who writes a column in a newspaper or magazine.
combustion | noun | The process of burning something.
comeback | noun | A return by a well-known person to a previous position; a quick reply.
comedian | noun | An entertainer whose act is intended to make people laugh.
commercial | noun | A television or radio advertisement.
commoner | noun | One of the ordinary or common people.
commute | noun | A journey made regularly to and from work.
commuter | noun | A person who travels some distance to work regularly.
compass | noun | An instrument showing magnetic north.
compiler | noun | A program that converts instructions into machine code.
compost | noun | Decayed organic material used as a fertilizer.
comptroller | noun | A controller of financial affairs.
conspiracy | noun | A secret plan by a group to do something unlawful or harmful.
constipation | noun | A condition in which there is difficulty in emptying the bowels.
consultant | noun | A person who provides expert advice professionally.
convent | noun | A community of nuns; the building they live in.
convertible | noun | A car with a folding or detachable roof.
conveyor | noun | A person or thing that transports something; a conveyor belt.
cool | adjective | Fashionably attractive or impressive.
copious | adjective | Abundant in supply or quantity.
copyright | noun | The exclusive legal right to publish or record material.
correspondent | noun | A person who writes letters; a journalist reporting from a particular place.
cottage | noun | A small simple house, typically in the country.
countdown | noun | An act of counting numerals in reverse order to zero.
coup | noun | A sudden, violent seizure of power; a notable achievement.
courthouse | noun | A building housing a court of law.
cowboy | noun | A man who herds cattle on horseback; a reckless operator.
coworker | noun | A fellow worker.
crackers | adjective | Crazy (British); noun: thin crisp biscuits.
cradle | noun | An infant's bed on rockers.
cramp | noun | A painful involuntary contraction of a muscle.
crane | noun | A tall long-legged bird; a machine for lifting heavy objects.
crank | noun | An eccentric person, especially one obsessed with a theory.
crankshaft | noun | A shaft driven by a crank.
cranky | adjective | Ill-tempered; irritable.
crater | noun | A large bowl-shaped cavity in the ground or on a celestial body.
crayfish | noun | A freshwater crustacean resembling a small lobster.
crayon | noun | A pencil or stick of colored chalk or wax.
cricket | noun | A jumping insect that chirps; a bat-and-ball game.
crimson | adjective | Rich deep red slightly inclined toward purple.
crossroads | noun | An intersection of two or more roads; a point where a crucial decision must be made.
crowbar | noun | An iron bar with a flattened end, used as a lever.
cruise | noun | A voyage on a ship for pleasure.
cubicle | noun | A small partitioned-off area of a room.
cucumber | noun | A long green-skinned fruit eaten as a vegetable.
cuddle | verb | To hold close in one's arms as a way of showing love.
cult | noun | A system of religious veneration; a small religious group regarded as strange.
cupboard | noun | A recess or piece of furniture with a door and shelves.
curfew | noun | A regulation requiring people to remain indoors between certain hours.
curriculum | noun | The subjects comprising a course of study.
curry | noun | A dish of meat or vegetables cooked in a spiced sauce.
cursor | noun | A movable indicator on a computer screen.
cushion | noun | A bag of cloth stuffed with soft material, used for comfort.
custard | noun | A dessert or sauce made of milk and eggs, thickened with heat.
customs | noun | The official department that administers duties on imported goods.
daffodil | noun | A plant bearing bright yellow flowers with a trumpet-shaped center.
daisy | noun | A small grassland plant with white petals and a yellow center.
dame | noun | A woman (dated slang); a title for a woman with an honor.
database | noun | A structured set of data held in a computer.
daunting | adjective | Seeming difficult to deal with in anticipation; intimidating.
daycare | noun | Care for young children during the working day.
dazzling | adjective | Extremely bright; extremely impressive.
deadline | noun | The latest time or date by which something should be completed.
debugging | noun | Identifying and removing errors from computer hardware or software.
decanter | noun | A stoppered glass container for serving wine.
decibel | noun | A unit measuring the intensity of a sound.
decor | noun | The furnishing and decoration of a room.
defendant | noun | An individual or company sued or accused in a court of law.
delirium | noun | An acutely disturbed state of mind with restlessness and hallucinations.
delta | noun | A triangular tract of sediment at the mouth of a river.
democracy | noun | A system of government by the whole population through elected representatives.
dentist | noun | A person qualified to treat diseases of the teeth.
depression | noun | Feelings of severe despondency and dejection.
deputy | noun | A person appointed to act for another, especially a sheriff's assistant.
derby | noun | A bowler hat; a sporting contest.
desktop | noun | The working surface of a desk; a computer suitable for use at a desk.
detective | noun | A person whose occupation is to investigate crimes.
detour | noun | A long or roundabout route taken to avoid something.
detox | noun | A process of removing toxic substances or abstaining from something.
diabetes | noun | A disorder in which the body cannot properly regulate blood sugar.
diaper | noun | A piece of absorbent material wrapped around a baby's bottom.
diarrhea | noun | A condition in which feces are discharged frequently and in liquid form.
dictator | noun | A ruler with total power over a country.
diesel | noun | A heavy petroleum fraction used as fuel in diesel engines.
dig | verb | To like or appreciate (1950s–60s slang).
digital | adjective | Relating to or using signals or information represented by digits.
dilemma | noun | A situation requiring a choice between equally undesirable alternatives.
dill | noun | An aromatic herb of the parsley family.
dimple | noun | A small depression in the flesh, especially in the cheeks or chin.
diner | noun | A small roadside restaurant; a person eating a meal.
dinosaurs | noun | Prehistoric reptiles of the Mesozoic era.
diode | noun | A semiconductor device with two terminals, allowing current in one direction.
dishwasher | noun | A machine for washing dishes automatically.
dismal | adjective | Depressing; dreary; pitifully inadequate.
dizziness | noun | A sensation of spinning around and losing one's balance.
domain | noun | An area of territory; a distinct subset of the internet.
domino | noun | Any of 28 small oblong pieces marked with dots.
doorknob | noun | A handle on a door that is turned to release the latch.
doorman | noun | A man employed to stand at the entrance to a building.
doormat | noun | A mat placed at an entrance; a submissive person.
dope | noun | A drug; a stupid person; information.
dormitory | noun | A large bedroom for a number of people; a university residence hall.
dough | noun | A thick mixture of flour and liquid; money (slang).
downfall | noun | A loss of power, prosperity, or status.
download | verb | To copy data from one computer system to another, typically over the internet.
downpour | noun | A heavy fall of rain.
downsizing | noun | Reducing the number of employees in a company.
doze | verb | To sleep lightly.
dragonflies | noun | Fast-flying insects with long bodies.
draught | noun | A current of cool air; a single act of drinking.
dreamy | adjective | Having a magical or pleasantly distracted quality.
dreary | adjective | Dull, bleak, and lifeless.
dredge | verb | To clean out the bed of a harbor or river; to bring up something forgotten.
dribble | verb | To let saliva trickle from the mouth; to move a ball with slight touches.
driftwood | noun | Pieces of wood washed ashore by the sea.
drizzle | noun | Light rain falling in very fine drops.
drought | noun | A prolonged period of abnormally low rainfall.
drummer | noun | A person who plays a drum; a traveling salesman (dated).
dubious | adjective | Hesitating or doubting; not to be relied upon.
duckbill | noun | A platypus; a hadrosaur dinosaur.
dugout | noun | A shelter dug into the ground; a canoe made from a hollowed tree trunk.
dusky | adjective | Darkish in color; shadowy.
dustbin | noun | A container for household refuse (British).
duster | noun | A cloth for dusting; a woman's light, loose coat.
dustpan | noun | A flat hand-held receptacle into which dust is swept.
dwarf | noun | A member of a mythical race of short, stocky beings.
dynamite | noun | A high explosive; something extremely impressive.
earache | noun | Pain inside the ear.
earlobe | noun | The soft, rounded fleshy part at the lower margin of the ear.
earthquake | noun | A sudden violent shaking of the ground.
ecology | noun | The study of organisms and their environment.
economics | noun | The study of production, consumption, and wealth.
editorial | noun | A newspaper article giving the opinion of the editors.
eel | noun | A snakelike fish.
eggshell | noun | The thin hard outer layer of an egg; a pale off-white color.
elbow | noun | The joint between the forearm and the upper arm.
electrician | noun | A person who installs and repairs electrical equipment.
electrode | noun | A conductor through which electricity enters or leaves an object.
electromagnet | noun | A soft metal core made into a magnet by passing electric current through a coil.
eloquent | adjective | Fluent or persuasive in speaking or writing.
emulator | noun | Hardware or software that enables one computer system to behave like another.
encryption | noun | The process of converting information into a code.
entree | noun | The main course of a meal; the right to enter.
entrepreneur | noun | A person who sets up a business, taking on financial risks.
epic | noun | A long poem narrating heroic deeds; something grand in scale.
ere | preposition | Before (in time).
ether | noun | A volatile liquid once used as an anesthetic; the upper regions of air.
ethics | noun | Moral principles that govern a person's behavior.
eviction | noun | The action of expelling someone from a property.
expense | noun | The cost required for something.
exquisite | adjective | Extremely beautiful and delicate.
eyebrow | noun | The strip of hair growing on the ridge above the eye.
eyedropper | noun | A dropper for administering drops to the eyes.
eyelash | noun | Each of the short curved hairs growing on the edges of the eyelids.
fable | noun | A short story, typically with animals as characters, conveying a moral.
fain | adverb | Gladly; willingly.
fairway | noun | The part of a golf course between tee and green; a navigable channel.
falcon | noun | A bird of prey with long pointed wings.
familiar | noun | A spirit, often in animal form, believed to attend a witch.
fathom | verb | To understand after much thought; a measure of water depth.
faucet | noun | A tap.
feeble | adjective | Lacking physical strength; lacking force.
feedback | noun | Information about reactions to a product or performance; noise from an amplifier.
felony | noun | A crime regarded as more serious than a misdemeanor.
felt | noun | Cloth made by rolling and pressing wool.
fencing | noun | The sport of fighting with swords; fences collectively.
fern | noun | A flowerless plant with feathery fronds.
ferry | noun | A boat for conveying passengers and goods across water.
fertilizer | noun | A chemical or natural substance added to soil to increase fertility.
festival | noun | A day or period of celebration; an organized series of performances.
festivity | noun | Joyful and exuberant celebration.
feta | noun | A white salty Greek cheese made from sheep's or goat's milk.
fever | noun | An abnormally high body temperature.
fiddle | noun | A violin, especially when used for folk music.
fie | exclamation | Used to express disgust or outrage.
filament | noun | A slender threadlike object, such as the wire in a light bulb.
filing | noun | The action of placing documents in a filing system.
firehouse | noun | A fire station.
fireplace | noun | A place for a domestic fire, at the base of a chimney.
firewood | noun | Wood burned as fuel.
fireworks | noun | Devices containing explosives that make displays of light and noise.
firmware | noun | Permanent software programmed into read-only memory.
fishing | noun | The activity of catching fish.
fishy | adjective | Of or like fish; arousing suspicion.
fizz | noun | The effervescence of a drink.
flannel | noun | A soft woven fabric, typically of wool or cotton.
flashlight | noun | A battery-operated portable light.
flashy | adjective | Ostentatiously attractive or impressive.
flask | noun | A container for liquids, especially a narrow-necked bottle.
flimsy | adjective | Comparatively light and insubstantial; easily damaged.
floppy | adjective | Tending to hang or move loosely.
floppy | noun | A flexible removable magnetic disk for storing data.
florist | noun | A person who sells cut flowers.
fluffy | adjective | Soft and light, like fluff.
flutter | verb | To fly unsteadily by flapping the wings quickly and lightly.
flywheel | noun | A heavy revolving wheel in a machine used to increase momentum.
footnote | noun | An additional piece of information printed at the bottom of a page.
foreclosure | noun | The action of taking possession of a mortgaged property when payments are not made.
forensics | noun | Scientific tests used in the investigation of crime.
foundry | noun | A workshop or factory for casting metal.
foyer | noun | An entrance hall or other open area in a building.
franchise | noun | An authorization to carry out commercial activities under a brand.
frantic | adjective | Wild or distraught with fear, anxiety, or other emotion.
freckle | noun | A small light brown spot on the skin.
freelance | adjective | Self-employed and hired to work for different companies.
freelancer | noun | A self-employed person working for different companies.
freshman | noun | A first-year student at a university, college, or high school.
frosty | adjective | Cold with frost; cold and unfriendly.
funk | noun | A style of popular dance music with a strong rhythm; a state of depression.
funnel | noun | A tube with a wide top for guiding liquid into a small opening.
fussy | adjective | Fastidious about one's needs; full of unnecessary detail.
gala | noun | A social occasion with special entertainments.
gallbladder | noun | A small sac-shaped organ storing bile.
galley | noun | A low, flat ship with sails and oars; a ship's kitchen.
gambler | noun | A person who gambles.
garlic | noun | A strong-smelling bulb used as a flavoring in cooking.
gazette | noun | A journal or newspaper.
gearbox | noun | A set of gears with its casing, especially in a motor vehicle.
gene | noun | A unit of heredity transferred from parent to offspring.
generator | noun | A thing that generates something; a dynamo.
genetics | noun | The study of heredity.
gentleman | noun | A chivalrous, courteous, or honorable man.
geology | noun | The science of the earth's physical structure and substance.
geometry | noun | The branch of mathematics concerned with shapes and space.
geothermal | adjective | Relating to or produced by the internal heat of the earth.
germ | noun | A microorganism, especially one that causes disease.
giggle | verb | To laugh lightly in a nervous, affected, or silly manner.
gimlet | noun | A small tool for boring holes; a gin and lime cocktail.
gin | noun | A clear spirit flavored with juniper; a card game.
girder | noun | A large iron or steel beam.
gloomy | adjective | Dark or poorly lit; depressed.
glossy | adjective | Shiny and smooth.
goldfish | noun | A small reddish-golden carp kept in ponds and aquariums.
golf | noun | A game of hitting a small ball into holes on a course.
gorge | noun | A narrow valley between hills or mountains.
gorge | verb | To eat a large amount greedily.
gospel | noun | The teaching of Christ; something absolutely true.
gossip | noun | Casual conversation about other people; a person who likes to talk about others.
grammar | noun | The whole system and structure of a language.
grandchild | noun | A child of one's son or daughter.
grandfather | noun | The father of one's father or mother.
grandmother | noun | The mother of one's father or mother.
granite | noun | A very hard, granular igneous rock.
graphic | adjective | Relating to visual art; giving vivid detail.
graphite | noun | A gray form of carbon used as pencil lead.
grasshopper | noun | A plant-eating insect with long hind legs for jumping.
grater | noun | A device with sharp-edged perforations for grating food.
graveyard | noun | A burial ground.
gravy | noun | A sauce made from the fat and juices of cooked meat.
greenhouse | noun | A glass building in which plants are grown.
griddle | noun | A heavy, flat iron plate heated for cooking.
grits | noun | Coarsely ground corn boiled with water or milk.
grouse | noun | A game bird with a plump body; a complaint.
grumble | verb | To complain in a bad-tempered way.
grumpy | adjective | Bad-tempered and irritable.
guesswork | noun | The process of making guesses.
gums | noun | The firm areas of flesh around the teeth.
gypsum | noun | A soft white mineral used to make plaster.
hackney | noun | A horse or carriage for hire.
hacksaw | noun | A saw with a narrow blade for cutting metal.
hag | noun | An ugly old woman; a witch.
hailstorm | noun | A storm with hail.
hairbrush | noun | A brush for smoothing one's hair.
hairdresser | noun | A person who cuts and styles hair.
hairdryer | noun | An electrical device for drying hair.
hamburger | noun | A round patty of ground beef in a bun.
handbag | noun | A small bag used by women to carry everyday items.
handset | noun | The part of a telephone held in the hand.
hanky | noun | A handkerchief.
happiness | noun | The state of being happy.
hardware | noun | Tools and household implements; the physical parts of a computer.
harp | noun | A large upright stringed instrument played by plucking.
harvest | noun | The process of gathering in crops.
hash | noun | A dish of diced cooked meat and potatoes; a jumble.
hatchet | noun | A small axe with a short handle.
headache | noun | A continuous pain in the head.
headline | noun | A heading at the top of a newspaper article.
headway | noun | Forward movement; progress.
heartache | noun | Emotional anguish or grief.
heartbeat | noun | A pulsation of the heart; an instant.
heartburn | noun | A form of indigestion felt as a burning sensation in the chest.
hectare | noun | A metric unit of area equal to 10,000 square meters.
hectic | adjective | Full of incessant or frantic activity.
hefty | adjective | Large, heavy, and powerful.
helicopter | noun | A rotorcraft; describing an overprotective parent.
hemisphere | noun | Half of the earth.
hiccup | noun | An involuntary spasm of the diaphragm; a minor setback.
hierarchy | noun | A system in which people are ranked one above another.
hiking | noun | The activity of going for long walks in the country.
hindsight | noun | Understanding of a situation after it has happened.
hither | adverb | To or toward this place.
holiday | noun | A day of festivity or recreation; a vacation.
homemaker | noun | A person who manages a household.
homepage | noun | The introductory page of a website.
homework | noun | Schoolwork that a student is required to do at home.
homicide | noun | The killing of one person by another.
honeymoon | noun | A holiday taken by a newly married couple.
horizon | noun | The line at which the earth's surface and the sky appear to meet.
hormone | noun | A chemical messenger produced by glands.
horrid | adjective | Causing horror; very unpleasant.
hostel | noun | An establishment providing inexpensive food and lodging.
housekeeping | noun | The management of household affairs.
housewife | noun | A woman whose main occupation is caring for her family and home.
humidifier | noun | A device for keeping the atmosphere moist.
hunter | noun | A person who hunts.
husky | noun | A powerful dog of a breed used for pulling sledges.
hustle | noun | Busy movement and activity; a fraud or swindle.
hydroelectric | adjective | Relating to the generation of electricity using flowing water.
hymn | noun | A religious song of praise.
imbibe | verb | To drink, especially alcohol; to absorb ideas.
immunity | noun | The ability to resist a particular infection.
inbox | noun | A folder where incoming email is held.
indigestion | noun | Pain or discomfort in the stomach associated with difficulty in digesting food.
inflation | noun | A general increase in prices and fall in the purchasing value of money.
insider | noun | A person within a group or organization with special knowledge.
insomnia | noun | Habitual sleeplessness.
interface | noun | A point where two systems meet and interact.
intern | noun | A student or trainee who works to gain experience.
intranet | noun | A private network within an organization.
iris | noun | A plant with showy flowers; the colored part of the eye.
itinerary | noun | A planned route or journey.
ivory | noun | The hard creamy-white substance of elephant tusks; its color.
jacks | noun | A game of tossing and picking up small metal pieces.
jade | noun | A bad-tempered or disreputable woman; a worn-out horse; a green gem.
jade | noun | A hard, typically green stone used for ornaments.
jake | adjective | All right; satisfactory (dated slang).
janitor | noun | A caretaker of a building.
jargon | noun | Special words used by a particular profession that are hard for others to understand.
jealousy | noun | Envy; resentment toward a perceived rival.
jeans | noun | Hard-wearing casual trousers made of denim.
jeep | noun | A small, sturdy motor vehicle with four-wheel drive.
jersey | noun | A knitted garment; a soft knitted fabric.
jeweler | noun | A person who makes or sells jewelry.
jingle | noun | A light ringing sound; a short catchy song used in advertising.
joe | noun | Coffee; an ordinary man.
john | noun | A toilet; a prostitute's client.
